fold,no,clay,silt,sand,BD,omc,hhpa,pF,VWC
1,1081,22.6,54.3,23,1.11,1.36,785.24,2.9,29
1,1016,54.2,34.4,11,0.95,1.01,4.68,0.67,62
1,1059,41.3,26.9,32,1.04,1.18,309.03,2.49,30
1,1015,45.7,30.4,24,0.85,0.49,139.32,2.14,39
1,55,32.6,43.3,24.1,1.14,4.5,41.1,1.69200853,46.3
1,115,26,40.5,33.5,0.57,5.74,4.2,0.701415999,68.1
1,143,8.8,53.1,38.1,0.96,8,5.5,0.818529398,60.2
1,1069,10.5,18.4,71,1.17,0.8,73.11,1.86,34
1,149,33.9,50.2,15.9,1.58,0.2,186.2,2.348146385,38
1,1047,42,38.7,19,0.87,0.47,478.63,2.68,33
1,46,16,77.8,6.2,1.35,0.86,151.3,2.258005636,36.9
1,105,4.3,27.1,68.6,1.39,2.5,72.4,1.937905274,38.2
1,160,37.6,42.2,20.2,1.36,2,35.2,1.624709372,37.3
1,1063,33.1,39.4,28,0.94,2.52,13.65,1.14,60
1,46,16,77.8,6.2,1.35,0.86,256.1,2.486576287,34.6
1,20,39.2,50.2,10.6,1.42,5.82,330.4,2.597206747,31.1
1,1031,46.8,22.4,31,0.96,1.12,92.9,1.97,50
1,55,32.6,43.3,24.1,1.14,4.5,50.6,1.782317225,45.3
1,152,29.9,54.2,15.9,1.39,5,7.9,0.975793799,47.8
1,165,17.5,77,5.5,1.42,1,417.8,2.699135144,19.3
1,1063,33.1,39.4,28,0.94,2.52,23.07,1.36,55
1,1083,11.6,22.5,66,0.95,1.21,347.54,2.54,24
1,1033,46,23.8,30,0.92,1.99,24.27,1.39,62
1,88,12.8,71.9,15.3,1.22,0.01,58.9,1.848282003,49.3
1,123,5,35.7,59.3,1.47,0,656.1,2.895136746,23.8
1,1069,10.5,18.4,71,1.17,0.8,161.44,2.21,25
1,8,60,33.4,6.6,1.47,3.61,146.5,2.244004333,45.2
1,55,32.6,43.3,24.1,1.14,4.5,527.2,2.80014211,34.4
1,23,9.9,76,14.1,1.48,7.72,589.8,2.848871476,33.6
1,166,27.7,41.6,30.7,1.15,3,40.6,1.686692742,49.4
1,1033,46,23.8,30,0.92,1.99,68.71,1.84,50
1,164,29.8,55,15.2,1.58,1.8,4.4,0.721619385,41.6
1,33,16,41.1,42.9,1.3,3.66,172.1,2.313947578,41.3
1,165,17.5,77,5.5,1.42,1,5.4,0.810560468,42.2
1,142,11.6,63.4,25,1.1,12,46.1,1.741867634,43
1,149,33.9,50.2,15.9,1.58,0.2,127.6,2.184017383,39.4
1,123,5,35.7,59.3,1.47,0,155.6,2.270176301,29.2
1,1064,28.8,33.5,38,1.11,2.56,762.08,2.88,25
1,1016,54.2,34.4,11,0.95,1.01,37.67,1.58,57
1,1069,10.5,18.4,71,1.17,0.8,495.45,2.7,16
1,4,25,57.8,17.2,1.42,0.01,528.3,2.801047319,37.3
1,20,39.2,50.2,10.6,1.42,5.82,368.3,2.644368427,30.8
1,1031,46.8,22.4,31,0.96,1.12,27.61,1.44,62
1,1063,33.1,39.4,28,0.94,2.52,354.81,2.55,30
1,1063,33.1,39.4,28,0.94,2.52,278.61,2.45,32
1,1081,22.6,54.3,23,1.11,1.36,635.33,2.8,32
1,1047,42,38.7,19,0.87,0.47,77.8,1.89,48
1,95,29.3,55.3,15.4,1.35,0.2,436.5,2.718150956,25.5
1,1047,42,38.7,19,0.87,0.47,93.97,1.97,45
1,115,26,40.5,33.5,0.57,5.74,731.1,2.942143492,34
1,46,16,77.8,6.2,1.35,0.86,959.1,3.060030599,30.4
1,20,39.2,50.2,10.6,1.42,5.82,353.7,2.626801768,30.9
1,167,23.4,71.5,5.1,1.14,6,304.8,2.562181671,42.1
1,142,11.6,63.4,25,1.1,12,625.2,2.874185678,31
1,46,16,77.8,6.2,1.35,0.86,298.8,2.553547301,33.9
1,8,60,33.4,6.6,1.47,3.61,6.8,0.910675621,57.5
1,1047,42,38.7,19,0.87,0.47,37.07,1.57,61
1,1031,46.8,22.4,31,0.96,1.12,20,1.3,64
1,125,16.7,69.2,14.1,1.69,2.2,826,2.995146755,26.1
1,88,12.8,71.9,15.3,1.22,0.01,87.1,2.018184863,47.5
1,20,39.2,50.2,10.6,1.42,5.82,143.6,2.235321148,32.9
1,160,37.6,42.2,20.2,1.36,2,762.1,2.96017867,21.9
1,88,12.8,71.9,15.3,1.22,0.01,128.8,2.188082571,45.1
1,1065,34.8,30.7,35,1.09,1.34,55.08,1.74,43
1,1016,54.2,34.4,11,0.95,1.01,6.25,0.8,62
1,167,23.4,71.5,5.1,1.14,6,35.3,1.625941414,49.8
1,1059,41.3,26.9,32,1.04,1.18,23.07,1.36,59
1,114,26,40.5,33.5,0.56,5.74,25.9,1.491466472,62.6
1,1065,34.8,30.7,35,1.09,1.34,3.06,0.49,59
1,20,39.2,50.2,10.6,1.42,5.82,128.7,2.187745255,33.1
1,118,6.6,78.9,14.5,1.24,1.8,16.6,1.298274796,48.4
1,115,26,40.5,33.5,0.57,5.74,45.2,1.733305143,57.3
1,143,8.8,53.1,38.1,0.96,8,73.8,1.94622307,50.3
1,152,29.9,54.2,15.9,1.39,5,3.4,0.609645625,48.5
1,166,27.7,41.6,30.7,1.15,3,130.9,2.195106355,36.9
1,160,37.6,42.2,20.2,1.36,2,9.2,1.041954536,46.7
1,1064,28.8,33.5,38,1.11,2.56,544.5,2.74,27
1,1069,10.5,18.4,71,1.17,0.8,11.07,1.04,42
1,88,12.8,71.9,15.3,1.22,0.01,871,3.018184863,19.9
1,1069,10.5,18.4,71,1.17,0.8,152.76,2.18,25
1,1064,28.8,33.5,38,1.11,2.56,69.34,1.84,44
1,46,16,77.8,6.2,1.35,0.86,509.6,2.785396127,31.8
1,149,33.9,50.2,15.9,1.58,0.2,119.1,2.15407847,39.6
1,1081,22.6,54.3,23,1.11,1.36,118.58,2.07,44
1,20,39.2,50.2,10.6,1.42,5.82,178.2,2.329074408,32.4
1,126,14.7,75.3,10,1.29,0,102.8,2.090159823,32.2
1,46,16,77.8,6.2,1.35,0.86,780.5,2.970539616,30.8
1,1081,22.6,54.3,23,1.11,1.36,7.96,0.9,51
1,159,29.1,60.5,10.4,1.48,0.01,179.9,2.333197872,35.9
1,1015,45.7,30.4,24,0.85,0.49,123.31,2.09,40
1,125,16.7,69.2,14.1,1.69,2.2,2.2,0.420589389,39.9
1,1080,11.5,18.4,70,1.23,0.62,5.96,0.78,46
1,125,16.7,69.2,14.1,1.69,2.2,89.3,2.029018167,37.6
1,1065,34.8,30.7,35,1.09,1.34,179.47,2.25,34
1,1063,33.1,39.4,28,0.94,2.52,729.46,2.86,26
1,1065,34.8,30.7,35,1.09,1.34,928.97,2.97,26
1,55,32.6,43.3,24.1,1.14,4.5,338.8,2.60811011,36.9
1,55,32.6,43.3,24.1,1.14,4.5,32.7,1.592714461,47.6
1,97,19.8,67,13.2,1.14,3.56,6,0.856317959,49.9
1,143,8.8,53.1,38.1,0.96,8,419.8,2.701209142,40.4
1,149,33.9,50.2,15.9,1.58,0.2,27,1.509530472,43.1
1,126,14.7,75.3,10,1.29,0,98.6,2.072043623,32.5
1,95,29.3,55.3,15.4,1.35,0.2,114.8,2.138108596,32.6
1,46,16,77.8,6.2,1.35,0.86,163,2.290354313,36.6
1,55,32.6,43.3,24.1,1.14,4.5,17.7,1.326139975,51.4
1,167,23.4,71.5,5.1,1.14,6,2,0.379196704,55.5
1,46,16,77.8,6.2,1.35,0.86,143.3,2.234412899,37.1
1,123,5,35.7,59.3,1.47,0,22.2,1.424519683,38.5
1,1031,46.8,22.4,31,0.96,1.12,101.86,2.01,48
1,160,37.6,42.2,20.2,1.36,2,42.3,1.704507076,36
1,114,26,40.5,33.5,0.56,5.74,722.8,2.937184852,37.9
1,118,6.6,78.9,14.5,1.24,1.8,19.6,1.37042278,46.4
1,164,29.8,55,15.2,1.58,1.8,6.3,0.877507258,40.4
1,1069,10.5,18.4,71,1.17,0.8,50.58,1.7,37
1,114,26,40.5,33.5,0.56,5.74,32.1,1.584671741,60.6
1,1015,45.7,30.4,24,0.85,0.49,35.89,1.56,58
1,1033,46,23.8,30,0.92,1.99,18.79,1.27,63
1,125,16.7,69.2,14.1,1.69,2.2,224.9,2.430156164,34.8
1,166,27.7,41.6,30.7,1.15,3,26.5,1.501412582,57.7
1,1083,11.6,22.5,66,0.95,1.21,512.86,2.71,20
1,118,6.6,78.9,14.5,1.24,1.8,51.1,1.786587608,35
1,1016,54.2,34.4,11,0.95,1.01,579.43,2.76,32
1,123,5,35.7,59.3,1.47,0,533.3,2.805138292,24.4
1,1064,28.8,33.5,38,1.11,2.56,18.11,1.26,55
1,114,26,40.5,33.5,0.56,5.74,3.3,0.596680648,68.3
1,1063,33.1,39.4,28,0.94,2.52,48.75,1.69,49
1,23,9.9,76,14.1,1.48,7.72,0,0,47.6
1,149,33.9,50.2,15.9,1.58,0.2,228.6,2.437242934,37.7
1,1081,22.6,54.3,23,1.11,1.36,650.13,2.81,32
1,55,32.6,43.3,24.1,1.14,4.5,18.6,1.347679652,51.1
1,152,29.9,54.2,15.9,1.39,5,18.6,1.347679652,42.3
1,152,29.9,54.2,15.9,1.39,5,55.7,1.824021903,39.1
1,4,25,57.8,17.2,1.42,0.01,158.3,2.277647623,40.3
